"endpoint","domain","source_test","data_type","endpoint_type","comparison","dataset_a","dataset_b","treatment","exposure","n_a","n_b","mean_difference_b_minus_a","median_difference_b_minus_a","hedges_g","rank_biserial","cliffs_delta","risk_difference_b_minus_a","odds_ratio_b_vs_a","feasibility_note"
"time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT3","BT1","BT3","0","96h",16,16,-1.1875,-7,-0.0684823164432262,-0.015625,-0.015625,NA,NA,"tested"
"time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT3","BT1","BT3","0.5","1h",16,16,3.5625,2.5,0.230491527034588,0.10546875,0.10546875,NA,NA,"tested"
"time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT3","BT1","BT3","0.5","24h",15,14,-17.4714285714286,-25.5,-1.3356454539038,-0.676190476190476,-0.676190476190476,NA,NA,"tested"
"time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT3","BT1","BT3","0.5","96h",16,16,-5.125,-14,-0.304396524487233,-0.22265625,-0.22265625,NA,NA,"tested"
"time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT3","BT1","BT3","1","1h",16,15,-2.09166666666667,-8,-0.122638379767409,-0.125,-0.125,NA,NA,"tested"
"time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT3","BT1","BT3","1","24h",14,12,-4.46428571428572,-9,-0.341316448896975,-0.232142857142857,-0.232142857142857,NA,NA,"tested"
"time_in_last_flux","endurance","RN","bounded continuous","bounded_continuous_or_proportion","BT1_vs_BT3","BT1","BT3","1","96h",14,15,-2.2,1,-0.117365908000761,-0.0857142857142857,-0.0857142857142857,NA,NA,"tested"
"vel_mean","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","1h",14,16,4.58880186630341,5.4664106984108,1.1037840690576,0.598214285714286,0.598214285714286,NA,NA,"tested"
"vel_mean","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","24h",15,16,2.38603060116617,4.42630401318995,0.545367889072842,0.441666666666667,0.441666666666667,NA,NA,"tested"
"vel_mean","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0","96h",16,16,1.9791425323399,1.50050902589985,0.384291466889938,0.2109375,0.2109375,NA,NA,"tested"
"vel_mean","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","1h",16,16,3.89459322907618,0.7248135433919,0.886094783977409,0.4140625,0.4140625,NA,NA,"tested"
"vel_mean","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","24h",15,15,-2.15722611631565,-1.38031016912343,-0.669838235390492,-0.333333333333333,-0.333333333333333,NA,NA,"tested"
"vel_mean","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","0.5","96h",16,16,2.64043357310353,1.81336455523735,1.14783188232229,0.609375,0.609375,NA,NA,"tested"
"vel_mean","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","1h",16,16,0.507078462007344,-3.49930497448405,0.0776778111750834,-0.0703125,-0.0703125,NA,NA,"tested"
"vel_mean","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","24h",14,12,1.89925367353566,2.11880789800995,0.669688973350442,0.392857142857143,0.392857142857143,NA,NA,"tested"
"vel_mean","NTT locomotion","NTT","continuous derived","continuous_or_derived","BT1_vs_BT2","BT1","BT2","1","96h",14,16,-1.25485018008434,-0.432013052340436,-0.364757134095061,-0.196428571428571,-0.196428571428571,NA,NA,"tested"
